index,artist,country,country_group,artwork,type,auction_house,auction_location,cm_x,cm_y,year_sold,month_sold,year_made,price_usd
30562,Yohanan Simon,Israel,Middle East,Under the Peaceful trees,work on canvas,Matsart Auctioneers & Appraisers,king david st.,21.0058,21.0058,2017,5,2017,1955.0
35297,Charles Hossein Zenderoudi,Iran,Middle East,ESE+FASE,work on canvas,Ader Nordmann,rue favart,96.012,96.012,2010,3,2010,47085.0
26020,Nahum Gutman,Israel,Middle East,Along river bank,work on board,Sotheby's,new york,60.96,60.96,1997,11,1997,5500.0
26678,Reuven (Zelicovici) Rubin,Israel,Middle East,Horses in the moonlight,work on canvas,Matsart Auctioneers & Appraisers,king david st.,72.9996,72.9996,2010,3,2010,110500.0
38286,Yosef Ohayon,Israel,Middle East,Yong Armchair,sculpture,Menzies,todman avenue,75.9968,75.9968,2011,11,2011,4525.0
1880,Chidi Kwubiri,Nigeria,West Africa,Let It Rain,paintings,Arthouse Contemporary Limited,lagos,180.3,180.3,2012,5,2012,10310.0
15143,Adriaan Boshoff,Congo DRC,Central Africa,COPPER MUG,work on canvas,Stephan Welz & Co,johannesburg,23.495,23.495,2008,8,2008,3326.0
34346,Fikret Mualla Saygı,Turkey,Middle East,Personnages au restaurant,work on canvas,Piasa,paris,24.003,24.003,2001,11,2001,812.0
43137,Zvi Mairovich,Israel,Middle East,A flower vase,work on canvas,Tiroche Auction House,kikar de shalif,24.003,24.003,2019,2,2019,443.0
12491,Christo Coetzee,South Africa,Southern Africa,Portrait,work on board,Aspire Art Auctions,johannesburg,119.9896,119.9896,2018,6,2018,17850.0
31520,Ruth Schloss,Israel,Middle East,"Birds cage, 1961",work on canvas,Matsart Auctioneers & Appraisers,king david st.,91.9988,91.9988,2011,3,2011,9200.0
1609,Barthelemy Toguo,Cameroon,Central Africa,"The Man Who Knew Everything,2017",sculpture,Piasa,paris,53.0,25.0,2017,4,2017,11050.0
20337,Louai Kayyali,Syria,Middle East,THE FRUIT SELLER,work on canvas,Sotheby's,bond street,73.2028,73.2028,2011,10,2011,95040.0
36289,Zaha Hadid,Iraq,Middle East,Solid,other,Phillips de Pury & Co.,west 15th street,37.1602,37.1602,2009,4,2009,875.0
27264,Reuven (Zelicovici) Rubin,Israel,Middle East,Shaykh-Munis,work on canvas,Tiroche Auction House,kikar de shalif,64.9986,64.9986,2011,6,2011,529000.0
48852,Reuven (Zelicovici) Rubin,Israel,Middle East,The fisherman,work on paper,Sotheby's,rothschild boulevard,29.0068,29.0068,1988,5,1988,3960.0
26910,Reuven (Zelicovici) Rubin,Israel,Middle East,DAFFODILS,work on canvas,Sotheby's,new york,54.61,54.61,2016,12,2016,75000.0
32497,Moshe Elazar Castel,Israel,Middle East,THE OFFERING,work on canvas,Sotheby's,new york,53.975,53.975,2011,12,2011,10625.0
46609,Meir Pichhadze,Israel,Middle East,Mother,work on canvas,Christie's,weizmann street,188.0108,188.0108,2005,5,2005,8000.0
7116,Gerard Sekoto,South Africa,Southern Africa,STREET SCENE WITH FIGURES,work on canvas,5th Avenue Auctioneers,johannesburg,50.0126,50.0126,2020,2,2020,9060.0
45431,Pinchas Litvinovsky,Israel,Middle East,Nargila,work on canvas,Montefiore Auction House,nachmani street,45.9994,45.9994,2012,3,2012,4600.0
40390,Huguette El Khoury Caland,Lebanon,Middle East,UNTITLED,work on board,Sotheby's,bond street,26.0096,26.0096,2020,10,2020,12265.0
34068,Fikret Mualla Saygı,Turkey,Middle East,Ravaudeurs de filet,work on canvas,Jean-Marc Delvaux,rue drouot,45.9994,45.9994,2002,12,2002,3592.0
12213,Cecil Edwin Frans Skotnes,South Africa,Southern Africa,A METAPHYSICAL LANDSCAPE,work on panel,Stephan Welz & Co,cape town,129.0066,129.0066,2012,2,2012,71610.0
3722,William Kentridge,South Africa,Southern Africa,Preparations in the Ante-Chamber,work on canvas,Strauss & Co,cape town,70.0,70.0,2019,2,2019,141200.0
25196,Yosl (Yosel) Bergner,Israel,Middle East,"The King and the Angel, 1962",work on canvas,Tiroche Auction House,kikar de shalif,92.5068,92.5068,2019,6,2019,3540.0
47456,Sirak Melkonian,Iran,Middle East,Night and Day (diptych),work on canvas,Christie's,dubai,126.0094,126.0094,2008,4,2008,34600.0
24195,Yosl (Yosel) Bergner,Israel,Middle East,Angel,work on paper,Gordon Galleries,ben yehuda street,50.0126,50.0126,1999,7,1999,900.0
33332,Manoucher Yektai,Iran,Middle East,Untitled,work on canvas,Tehran Auction,north allame street,45.0088,45.0088,2018,6,2018,96000.0
38622,Menashe Kadishman,Israel,Middle East,Tête de mouton à la couronne de fleurs,work on canvas,Louiza Auktion & Associés,place stéphanie,70.0024,70.0024,2017,10,2017,942.0
37319,Isaac Maimon,Israel,Middle East,Harmonious,work on canvas,Matsart Auctioneers & Appraisers,king david st.,91.0082,91.0082,2014,5,2014,14400.0
26066,Nahum Gutman,Israel,Middle East,A figure with donkeys near the Eucalyptus,work on canvas,Tiroche Auction House,kikar de shalif,57.9882,57.9882,2019,1,2019,21240.0
17807,Tsibi Geva,Israel,Middle East,Red Backgammon,work on canvas,Christie's,weizmann street,242.4938,242.4938,2008,4,2008,27400.0
16061,Tinus de Jongh,South Africa,Southern Africa,"De Dam, Amsterdam",work on canvas,Strauss & Co,cape town,83.9978,83.9978,2017,3,2017,6975.0
19883,Paul Guiragossian,Lebanon,Middle East,Tawkin (Composition),work on canvas,Christie's,dubai,90.5002,90.5002,2017,3,2017,120000.0
28921,Igael Tumarkin,Israel,Middle East,Myth of the Earth,work on paper,Tiroche Auction House,kikar de shalif,65.9892,65.9892,2013,1,2013,2300.0
3115,Walter Whall Battiss,South Africa,Southern Africa,View of Lainsburg,work on canvas,5th Avenue Auctioneers,johannesburg,42.0,42.0,2015,2,2015,701.0
9040,Ephraim Mojalefa Ngatane,South Africa,Southern Africa,MUSICIANS MAPEDI,work on canvas,Stephan Welz & Co,cape town,50.4952,50.4952,2017,10,2017,1312.0
3023,Walter Whall Battiss,South Africa,Southern Africa,Man on a Horse,work on canvas,Stephan Welz & Co,cape town,25.0,25.0,2015,10,2015,1179.0
45046,Raffi Lavie,Israel,Middle East,"Composition no. 98, 1955",work on paper,Montefiore Auction House,nachmani street,35.0012,35.0012,2016,4,2016,1080.0
5963,Omar El Nagdi,Egypt,North Africa,Le couple timide,work on canvas,Tradart,blank,34.0,34.0,2016,10,2016,3290.0
2009,Amadou Sanogo,Mali,West Africa,CEst Ce Que Je Voix?,paintings,Bonhams,bond street,173.5,135.0,2019,3,2019,9190.0
33969,Fikret Mualla Saygı,Turkey,Middle East,Tetes d'hommes,work on canvas,Francis Briest,blank,11.9888,11.9888,1987,3,1987,1013.0
8848,Francois Krige,South Africa,Southern Africa,"""FETCHING WATER, PATERNOSTER""",work on canvas,Bonhams,bond street,54.0004,54.0004,2010,3,2010,19850.0
30365,Yaacov (Gibstein) Agam,Israel,Middle East,"COUNTERPOINT #5, AGAMOGRAPH.",mixed media,Susanin's Auctioneers & Appraisers,chicago,38.1,38.1,2013,12,2013,600.0
30,Bruce Onobrakpeya,Nigeria,West Africa,Youths And Protests In The Niger Delta,paintings,Arthouse Contemporary Limited,lagos,231.14,149.9,2012,5,2012,19940.0
16994,Abdel Hadi El-Gazzar,Egypt,North Africa,Moulid of the Dervishes,work on paper,Christie's,dubai,97.9932,97.9932,2013,10,2013,75000.0
1278,Dominique Zinkpe,Benin,West Africa,Les Villagios,paintings,Sotheby's,london,200.0,200.0,2019,10,2019,16070.0
41776,Saad Hassani,Morocco,North Africa,Composition,work on paper,C.M.O.O.A,rue essanaani,54.0004,54.0004,2015,3,2015,1386.0
2091,Ragheb Ayad,Egypt,North Africa,La Danse,paintings,Christie's,paris,49.8,70.5,2010,11,2010,13960.0
16051,Tinus de Jongh,South Africa,Southern Africa,A Mountainous Landscape,work on canvas,Strauss & Co,cape town,49.5046,49.5046,2018,3,2018,4223.0
20790,Yousef Ahmad,Qatar,Middle East,SANS TITRE / UNTITLED,work on canvas,C.M.O.O.A,quartier bourgogne null,119.9896,119.9896,2008,12,2008,32045.0
2575,Walter Whall Battiss,South Africa,Southern Africa,Group of Figures,work on canvas,Strauss & Co,cape town,61.0,61.0,2020,5,2020,15980.0
29450,Igael Tumarkin,Israel,Middle East,Mystery no. 1,work on paper,Montefiore Auction House,nachmani street,51.0032,51.0032,2010,7,2010,1428.0
44759,Yitzhak Frenkel-Frenel,Israel,Middle East,Landscape,work on canvas,Matsart Auctioneers & Appraisers,king david st.,59.0042,59.0042,2005,6,2005,2760.0
14496,Errol Stephen Boyley,Congo DRC,Central Africa,FISHING FROM THE SEA SHORE,work on canvas,Stephan Welz & Co,johannesburg,74.4982,74.4982,2009,4,2009,1964.0
1838,Kudzanai Chiurai,Zimbabwe,Southern Africa,State Of Affair,paintings,Strauss & Co,johannesburg,200.0,140.0,2012,6,2012,9910.0
44736,Yitzhak Frenkel-Frenel,Israel,Middle East,Rabbi,work on canvas,Matsart Auctioneers & Appraisers,king david st.,21.9964,21.9964,2010,3,2010,2000.0
15806,Tinus de Jongh,South Africa,Southern Africa,Cottage in mountain landscape,work on board,Golding Young & Thos Mawer,portland street,51.9938,51.9938,2015,9,2015,533.0
17821,Tsibi Geva,Israel,Middle East,"Bird, 2007",work on canvas,Matsart Auctioneers & Appraisers,king david st.,24.9936,24.9936,2014,5,2014,2200.0
48826,Reuven (Zelicovici) Rubin,Israel,Middle East,Narghileh smoker,work on paper,Gordon Galleries,ben yehuda street,43.9928,43.9928,1991,1,1991,4000.0
37759,Ismail Fattah,Iraq,Middle East,Untitled,work on paper,Ayyam Auctions,sheikh zayed road,65.9892,65.9892,2014,1,2014,11400.0
26821,Reuven (Zelicovici) Rubin,Israel,Middle East,Study for Theatre,work on paper,Montefiore Auction House,nachmani street,29.9974,29.9974,2013,11,2013,2300.0
29066,Igael Tumarkin,Israel,Middle East,Untitled,sculpture,Matsart Auctioneers & Appraisers,king david st.,10.9982,10.9982,2015,6,2015,1725.0
28755,Igael Tumarkin,Israel,Middle East,Vendredi,work on paper,Arnold,bleichstrasse,38.989,38.989,2015,11,2015,328.0
2843,Walter Whall Battiss,South Africa,Southern Africa,Mother and Child of the Antheaps,work on canvas,Russell Kaplan Auctioneers,johannesburg,51.0,51.0,2017,6,2017,1997.0
16205,Kibwanga Mwenze,Congo DRC,Central Africa,Chasseur d’antilope,work on paper,Cornette De Saint Cyr,avenue kleber,97.5106,97.5106,2018,12,2018,682.0
22007,Robert Hodgins,South Africa,Southern Africa,Memento Mori,work on paper,Strauss & Co,cape town,48.9966,48.9966,2016,2,2016,1525.0
18864,Claudio Nelson (Camus) Bravo,Morocco,North Africa,David,work on paper,Sotheby's,new york,45.72,45.72,2003,11,2003,37500.0
43121,Zvi Mairovich,Israel,Middle East,MITZPEH-RAMON,work on canvas,Sotheby's,new york,115.9002,115.9002,2007,2,2007,24000.0
20131,Yigal Ozeri,Israel,Middle East,Treats,work on canvas,Tiroche Auction House,kikar de shalif,62.992,62.992,2019,2,2019,944.0
48968,Marcel Janco,Israel,Middle East,El Kouri,work on board,Artmark,str. ca rosetti,59.0042,59.0042,2019,5,2019,1116.0
11985,Irma Stern,South Africa,Southern Africa,RECLINING NUDE,work on paper,Strauss & Co,johannesburg,54.0004,54.0004,2013,5,2013,74115.0
31730,Ruth Schloss,Israel,Middle East,"The Scream, after Caravaggio, 1990’",work on canvas,Tiroche Auction House,kikar de shalif,89.9922,89.9922,2017,6,2017,8050.0
9181,Ephraim Mojalefa Ngatane,South Africa,Southern Africa,BUSY TOWNSHIP STREET SCENE,work on canvas,Strauss & Co,johannesburg,109.4994,109.4994,2014,6,2014,46980.0
