iter	RMSE
0	1.55308463
1	1.465613852
2	1.389139334
3	1.322459663
4	1.262245374
5	1.208111584
6	1.164132375
7	1.125772779
8	1.090533521
9	1.058918975
10	1.032038466
11	1.007522936
12	0.9864320591
13	0.9666476425
14	0.9503982137
15	0.9354150009
16	0.9225250058
17	0.9106770475
18	0.9010928252
19	0.8918566909
20	0.8837581044
21	0.876147919
22	0.8700632242
23	0.8635218854
24	0.8584387635
25	0.8540785678
26	0.8495954423
27	0.8435101147
28	0.839525837
29	0.8359773144
30	0.8312270212
31	0.8280301755
32	0.8239367427
33	0.8207041311
34	0.818239857
35	0.8157281625
36	0.8128927211
37	0.8106767727
38	0.8082226246
39	0.8053045149
40	0.8033193901
41	0.8007951168
42	0.7984361642
43	0.79696597
44	0.7947923433
45	0.7935287169
46	0.7913120699
47	0.7884486358
48	0.7857298897
49	0.7841420998
50	0.7827265636
51	0.7810077312
52	0.7790488981
53	0.7779877414
54	0.7757906365
55	0.7747662178
56	0.7734470906
57	0.7717334653
58	0.7692422674
59	0.7677800964
60	0.7662918007
61	0.7648023335
62	0.7634421569
63	0.7625413786
64	0.7602047897
65	0.7589962367
66	0.75709613
67	0.7550496527
68	0.7538669516
69	0.7528288297
70	0.7508256639
71	0.7494575247
72	0.7477079244
73	0.7468539855
74	0.745426942
75	0.7443359108
76	0.742923274
77	0.7410056565
78	0.7396917872
79	0.738308617
80	0.7373470312
81	0.7359597435
82	0.73499334
83	0.733823934
84	0.7322063244
85	0.7306197553
86	0.7294439457
87	0.7282139073
88	0.7269082325
89	0.725555844
90	0.72476092
91	0.7234886038
92	0.7222571197
93	0.721570564
94	0.7207791279
95	0.7190565448
96	0.7176703187
97	0.7165168278
98	0.7151176216
99	0.7140437061
100	0.7126935536
101	0.7115076438
102	0.7106879858
103	0.7095389352
104	0.7085393361
105	0.7070297755
106	0.7054324843
107	0.704636334
108	0.7039432752
109	0.7024859591
110	0.7012374925
111	0.7006195236
112	0.6993164551
113	0.6976769182
114	0.6968545093
115	0.6949589079
116	0.6942676371
117	0.6931558286
118	0.6918987695
119	0.6907231281
120	0.6898737516
121	0.6887795761
122	0.6865979593
123	0.6854575366
124	0.6839209258
125	0.6828851449
126	0.6809968867
127	0.6803242055
128	0.6790993458
129	0.6784781772
130	0.6777015987
131	0.6764520785
132	0.6751404952
133	0.673376523
134	0.6723877401
135	0.671518456
136	0.6707649933
137	0.6694970538
138	0.6686729549
139	0.6680902862
140	0.6673246344
141	0.6667439952
142	0.6657386184
143	0.6644422439
144	0.6638125079
145	0.6632637478
146	0.6628221227
147	0.6620591143
148	0.661286893
149	0.6604905339
150	0.6591036757
151	0.6582478677
152	0.657684105
153	0.6570817203
154	0.656693607
155	0.6565337748
156	0.6557112658
157	0.6551527291
158	0.6544975752
159	0.6537889937
160	0.6531974313
161	0.6528854286
162	0.6522853055
163	0.6518468763
164	0.6516162091
165	0.6512368945
166	0.6507560952
167	0.649814965
168	0.6489147259
169	0.6483590893
170	0.6475974668
171	0.646712633
172	0.646077618
173	0.6454788433
174	0.6448524861
175	0.6440159037
176	0.6428260734
177	0.6415266102
178	0.6401112729
179	0.6394622888
180	0.6386936823
181	0.6380328018
182	0.6375307935
183	0.6367737623
184	0.6360637184
185	0.634383455
186	0.6338900692
187	0.6330900678
188	0.6320689037
189	0.6311542657
190	0.6303115951
191	0.6294459339
192	0.6286490488
193	0.6278926391
194	0.6271776083
195	0.6265549852
196	0.6257037689
197	0.6250192564
198	0.624572638
199	0.6238535595
200	0.6233013176
201	0.6229162352
202	0.6222907539
203	0.6218154861
204	0.621582357
205	0.6209733679
206	0.6203415206
207	0.6200518975
208	0.6195594888
209	0.6185803822
210	0.6181145925
211	0.6170673287
212	0.6167814243
213	0.6161609317
214	0.6156276997
215	0.6148421218
216	0.6140530359
217	0.6136611759
218	0.6133432456
219	0.6128145163
220	0.6124035635
221	0.6122086761
222	0.6116333011
223	0.6113283346
224	0.6107676787
225	0.6100191988
226	0.6089245573
227	0.6083511312
228	0.6077259557
229	0.6072318951
230	0.6066944707
231	0.6062902301
232	0.6055672383
233	0.6050312663
234	0.604540551
235	0.6040803802
236	0.6037120556
237	0.6024819436
238	0.6021310202
239	0.6014887131
240	0.6005417066
241	0.6001770531
242	0.5995740454
243	0.5990694607
244	0.5985941951
245	0.5975000255
246	0.5970799004
247	0.5962536093
248	0.595574113
249	0.5945921415
