iter	Passed	Remaining
0	237	59127
1	447	55470
2	631	52021
3	835	51412
4	1083	53069
5	1465	59589
6	2087	72452
7	3239	97995
8	5291	141701
9	6977	167470
10	8739	189890
11	10286	204008
12	12026	219247
13	13778	232267
14	15446	241997
15	17272	252608
16	19287	264351
17	21018	270906
18	22690	275867
19	24571	282573
20	26505	289034
21	28185	292108
22	29912	295226
23	31742	298912
24	33444	300996
25	34940	301027
26	36493	301413
27	37942	300827
28	39236	299012
29	40335	295792
30	41386	292376
31	42701	290902
32	44021	289475
33	45308	287842
34	46824	287638
35	48202	286534
36	49527	285115
37	50878	283850
38	52920	286314
39	54221	284663
40	55323	282012
41	56497	279799
42	57704	277785
43	59225	277280
44	61210	278849
45	62592	277583
46	64432	278291
47	65711	276536
48	66797	274004
49	68151	272605
50	69580	271501
51	70978	270265
52	72805	270615
53	74255	269518
54	75895	269082
55	77380	268068
56	78774	266729
57	80655	266997
58	82424	266831
59	84081	266258
60	85163	263868
61	86491	262263
62	87888	260874
63	89054	258815
64	90177	256660
65	91411	254843
66	92776	253404
67	93946	251445
68	95050	249336
69	96110	247141
70	97127	244871
71	98166	242688
72	99344	240876
73	100582	239224
74	101751	237419
75	103220	236321
76	104798	235457
77	105938	233608
78	107013	231636
79	107966	229429
80	108964	227345
81	110119	225610
82	111096	223530
83	112347	222019
84	113763	220834
85	114883	219080
86	115982	217300
87	117493	216295
88	118896	215082
89	120185	213663
90	121858	212918
91	122925	211111
92	124093	209490
93	125318	207976
94	126507	206407
95	127638	204752
96	128944	203386
97	130517	202435
98	131867	201131
99	133082	199623
100	134937	199065
101	136874	198602
102	138421	197552
103	140045	196602
104	141764	195770
105	143439	194861
106	144999	193784
107	146362	192439
108	147545	190861
109	148516	189020
110	149735	187506
111	150961	186005
112	152071	184369
113	153137	182690
114	154097	180897
115	155129	179201
116	156213	177575
117	157318	175983
118	158390	174363
119	159385	172667
120	160386	170990
121	161336	169270
122	162628	167917
123	163721	166362
124	164793	164793
125	165746	163115
126	166855	161599
127	168095	160215
128	169378	158874
129	170810	157671
130	172046	156286
131	173416	155023
132	174852	153817
133	176311	152627
134	178259	151850
135	180009	150890
136	181994	150112
137	183678	149072
138	185192	147887
139	186756	146737
140	188446	145678
141	189794	144351
142	191291	143134
143	192815	141933
144	194431	140795
145	196155	139727
146	197610	138461
147	199069	137196
148	200298	135772
149	201973	134648
150	203705	133555
151	205108	132241
152	207268	131405
153	209272	130455
154	210660	129114
155	212285	127915
156	213851	126676
157	215387	125415
158	216553	123939
159	217729	122472
160	219081	121107
161	220548	119804
162	222023	118503
163	223115	116999
164	224279	115538
165	225178	113945
166	226320	112482
167	228191	111378
168	229767	110125
169	231333	108862
170	233218	107743
171	234584	106381
172	236666	105336
173	238195	104039
174	239686	102722
175	241113	101377
176	242534	100028
177	243826	98626
178	245469	97365
179	246662	95924
180	247520	94358
181	248926	93005
182	250317	91646
183	251528	90222
184	253434	89044
185	254694	87636
186	256106	86281
187	257308	84857
188	258843	83542
189	260189	82165
190	261449	80761
191	263409	79571
192	264788	78201
193	266378	76892
194	267480	75443
195	268655	74017
196	269780	72580
197	271111	71201
198	273037	69974
199	274223	68555
200	275191	67086
201	276263	65646
202	277384	64221
203	278443	62786
204	279557	61366
205	280746	59965
206	282429	58668
207	283857	57317
208	285299	55967
209	287017	54669
210	288420	53309
211	289719	51930
212	291329	50606
213	293602	49391
214	295966	48180
215	298263	46948
216	300555	45706
217	302403	44389
218	304140	43051
219	305429	41649
220	306337	40198
221	307457	38778
222	308375	37336
223	309170	35885
224	310376	34486
225	311455	33074
226	312526	31665
227	313851	30283
228	315258	28910
229	316405	27513
230	317766	26136
231	319532	24791
232	320687	23397
233	321959	22014
234	323203	20629
235	324298	19238
236	326035	17883
237	327253	16500
238	328468	15117
239	329570	13732
240	330783	12352
241	331900	10971
242	333163	9597
243	334220	8218
244	335325	6843
245	336714	5475
246	337659	4101
247	338816	2732
248	339881	1364
249	341142	0
